ExtractDate,ItemCount,ReturnCode,FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores,SchemeType,Longitude,Latitude,AddressLine1
17/08/2013,4378,Success,36328,10/00926/COM,(Nisa) News 24,Retailers - other,4613,68 Gordon Street,Glasgow,G1 3RS,Improvement Required,fhis_improvement_required_en-GB,11/06/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.257722,55.860794,
17/08/2013,4378,Success,19429,06/00508/COM,(Starbucks),Restaurant/Cafe/Canteen,1,390 Provan Walk,Glasgow,G34 9DL,Pass,fhis_pass_en-GB,01/11/2011,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.136909,55.872982,
17/08/2013,4378,Success,47541,11/00144/COM,@Lunch,Takeaway/sandwich shop,7844,1620 Great Western Road,Glasgow,G13 1HH,Pass,fhis_pass_en-GB,10/09/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.324127,55.890026,
17/08/2013,4378,Success,118310,47630/0253/0/000,100 % HMC Chicken And Meat - Fruit Of Paradise,Retailers - other,4613,253 Maxwell Road,Glasgow,G41 1TE,Improvement Required,fhis_improvement_required_en-GB,21/02/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.272655,55.843955,
17/08/2013,4378,Success,124676,53150/1587/0/000,101 Convenience Store,Retailers - other,4613,1587 Paisley Road West,Glasgow,G52 3QY,Pass,fhis_pass_en-GB,07/07/2010,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.334799,55.84591,
17/08/2013,4378,Success,96596,29500/0310/0/000,101 Convenience Store,Retailers - other,4613,310 Dyke Road,Glasgow,G13 4QU,Pass,fhis_pass_en-GB,01/07/2010,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.365896,55.892573,
17/08/2013,4378,Success,360857,27730/0011/0/000,1478 Social Club,Restaurant/Cafe/Canteen,1,11 Dove Street,Glasgow,G53 7BS,Pass,fhis_pass_en-GB,26/04/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.362002,55.812693,
17/08/2013,4378,Success,360870,54310/1534/0/000,1901 Bar And Bistro,Pub/bar/nightclub,7843,1534 Pollokshaws Road,Glasgow,G43 1RF,Improvement Required,fhis_improvement_required_en-GB,21/05/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.295607,55.827648,
17/08/2013,4378,Success,14993,05/00083/COM,1901 Deli,Retailers - other,4613,11 Skirving Street,Glasgow,G41 3AB,Pass,fhis_pass_en-GB,22/11/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.280532,55.829798,
17/08/2013,4378,Success,36351,10/00986/COM,1A Wok,Takeaway/sandwich shop,7844,9 Glasgow Road,Glasgow,,Pass,fhis_pass_en-GB,26/10/2012,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.11825745,55.85045141,
17/08/2013,4378,Success,36363,10/01018/COM,1call Direct,Restaurant/Cafe/Canteen,1,116 West Regent Street,Glasgow,G2 2QD,Pass,fhis_pass_en-GB,23/07/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.258314,55.863552,
17/08/2013,4378,Success,36362,10/01017/COM,2 Go,Restaurant/Cafe/Canteen,1,397 Dumbarton Road,Glasgow,G11 6BE,Pass,fhis_pass_en-GB,13/03/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.308613,55.870617,
17/08/2013,4378,Success,507934,13/00152/COM,200 St Vincent Street,Restaurant/Cafe/Canteen,1,200 St Vincent Street,Glasgow,G2 5SG,Awaiting Inspection,fhis_awaiting_inspection_en-GB,06/02/2013,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,-4.260957,55.86229,Storey 6
